time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
252049,4719750,6696085,6785114,6550501,8388607,8388607,8388607,8388607
252165,4719907,6695782,6783718,6551745,8388607,8388607,8388607,8388607
252283,4729904,6695584,6783536,6551105,8388607,8388607,8388607,8388607
252401,4720346,6695012,6784182,6551238,8388607,8388607,8388607,8388607
252570,4690539,6685652,6779278,6545054,8388607,8388607,8388607,8388607
252691,4735558,6692081,6783662,6547857,8388607,8388607,8388607,8388607
252808,4711394,6694435,6783894,6550416,8388607,8388607,8388607,8388607
252928,4725644,6691900,6783852,6550717,8388607,8388607,8388607,8388607
253048,4728914,6692664,6783532,6550741,8388607,8388607,8388607,8388607
253170,4732904,6691297,6784330,6550599,8388607,8388607,8388607,8388607
253296,4701449,6690241,6784171,6549303,8388607,8388607,8388607,8388607
253416,4729062,6691141,6785031,6550848,8388607,8388607,8388607,8388607
253695,4679543,6706998,6804211,6568894,8388607,8388607,8388607,8388607
253815,4734150,6694477,6788973,6553614,8388607,8388607,8388607,8388607
253937,4728783,6690370,6785666,6551017,8388607,8388607,8388607,8388607
254059,4729010,6689817,6784926,6550980,8388607,8388607,8388607,8388607
254183,4692758,6689948,6782691,6550772,8388607,8388607,8388607,8388607
254353,4687251,6681885,6779280,6545228,8388607,8388607,8388607,8388607
254475,4717834,6687986,6784078,6549275,8388607,8388607,8388607,8388607
254593,4696761,6689923,6786093,6550140,8388607,8388607,8388607,8388607
254715,4716560,6688947,6784793,6548200,8388607,8388607,8388607,8388607
254842,4702015,6686104,6782850,6548691,8388607,8388607,8388607,8388607
254966,4687999,6687112,6782321,6549113,8388607,8388607,8388607,8388607
255090,4689049,6687092,6783272,6548341,8388607,8388607,8388607,8388607
255215,4688984,6686235,6784325,6547044,8388607,8388607,8388607,8388607
255339,4691687,6686352,6782460,6545948,8388607,8388607,8388607,8388607
255467,4700623,6686509,6780462,6547327,8388607,8388607,8388607,8388607
255750,4676005,6703852,6800085,6565149,8388607,8388607,8388607,8388607
255874,4697866,6689634,6786060,6549469,8388607,8388607,8388607,8388607
256003,4701322,6686093,6781126,6547408,8388607,8388607,8388607,8388607
256190,4660059,6676677,6774320,6542420,8388607,8388607,8388607,8388607
256316,4681786,6683872,6781361,6546018,8388607,8388607,8388607,8388607
