time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
46186,8388607,7270650,6872599,7126105,4528762,4261880,2995814,4750305
46319,8388607,7271129,6871904,7124711,4523619,4261686,2992658,4750778
46452,8388607,7269043,6873195,7122569,4525886,4259989,2998677,4749507
46586,8388607,7272007,6872647,7124299,4524807,4260808,3000747,4750034
46719,8388607,7271636,6871597,7124646,4523921,4261909,3000716,4750719
46862,8388607,7272766,6872822,7124362,4526815,4263546,3000946,4750234
47005,8388607,7271442,6873209,7123395,4527239,4262208,3004144,4748723
47209,8388607,7271433,6875656,7127022,4530102,4260976,3018003,4746901
47342,8388607,7272257,6872287,7127036,4527143,4261996,3016167,4748368
47475,8388607,7270595,6875560,7124868,4527466,4262159,3011518,4749070
47628,8388607,7270744,6875322,7124530,4526931,4261433,3018481,4746971
47772,8388607,7270714,6874614,7128441,4528734,4260815,3014469,4747829
47915,8388607,7269946,6876116,7130774,4529965,4263938,3012162,4749909
48058,8388607,7272039,6873938,7128631,4528116,4264969,3008145,4748388
48201,8388607,7273996,6872801,7126002,4525211,4262811,3004592,4748039
48345,8388607,7272534,6870921,7124652,4526415,4263418,3009053,4746564
48498,8388607,7273040,6874731,7128342,4527178,4266258,3020190,4749319
48641,8388607,7273227,6871801,7128526,4524832,4265081,3026825,4749532
48784,8388607,7272688,6871185,7132247,4528994,4266006,3034101,4748896
48988,8388607,7272833,6871301,7130281,4527836,4264101,3039617,4747257
49131,8388607,7272003,6873265,7130360,4530516,4262965,3041163,4746902
49314,8388607,7271638,6871749,7130857,4527014,4263408,3041602,4747164
49437,8388607,7271545,6870978,7132674,4527323,4264142,3044117,4747598
49561,8388607,7273602,6869162,7134336,4529087,4265214,3043234,4748531
49684,8388607,7274181,6869731,7134458,4532521,4265428,3032726,4748558
49807,8388607,7273460,6870603,7132186,4531684,4263934,3023162,4748119
49930,8388607,7273253,6872525,7130263,4532826,4261869,3016098,4746815
50054,8388607,7272776,6874235,7129898,4531205,4261413,3012301,4746004
50177,8388607,7271895,6873881,7130139,4528346,4263588,3013012,4747934
50300,8388607,7272937,6870110,7131458,4526575,4264271,3019365,4746881
50423,8388607,7275106,6836350,7131587,4526564,4264128,3020832,4746934
50617,8388607,7273355,6873818,7131490,4530353,4263266,3026242,4749991
50750,8388607,7274215,6874056,7132401,4533301,4262712,3033337,4749240
50883,8388607,7275113,6872474,7133688,4531634,4264184,3032602,4751444
51016,8388607,7273319,6874516,7131236,4531766,4262373,3040282,4750766
51150,8388607,7273398,6873533,7131862,4532717,4261299,3034979,4751213
51273,8388607,7274448,6876386,7132963,4536605,4263932,3039824,4752058
