,Time,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
371,14.804934978,36.998642748,36.607375132,-600.000000000,,
372,14.844948316,37.000837228,36.592066389,-600.000000000,,
373,14.884961654,37.000511993,36.579581955,-600.000000000,,
374,14.924974992,36.999529459,36.564925848,-600.000000000,,
375,14.964988329,37.001632521,36.548569177,-600.000000000,,
376,15.005001667,36.999482964,36.534519520,-600.000000000,,
377,15.045015005,36.998707377,36.519717921,-600.000000000,,
378,15.085028343,36.999736964,36.502955354,-600.000000000,,
379,15.125041681,36.999338620,36.490233639,-600.000000000,,
380,15.165055018,37.001362173,36.472206321,-600.000000000,,
381,15.205068356,37.001220797,36.458205652,-600.000000000,,
382,15.245081694,37.000463622,36.442141755,-600.000000000,,
383,15.285095032,36.998626460,36.424911843,-600.000000000,,
384,15.325108369,37.000120146,36.410363476,-600.000000000,,
385,15.365121707,36.999732969,36.393970299,-599.999999999,,
386,15.405135045,36.999124920,36.377301883,-600.000000000,,
387,15.445148383,36.999214183,36.361085532,-599.999999999,,
388,15.485161721,37.000399869,36.344334852,-599.999999999,,
389,15.525175058,36.999892973,36.326559062,-599.999999999,,
390,15.565188396,36.999189565,36.310392861,-599.999999998,,
391,15.605201734,37.001220678,36.294689618,-599.999999998,,
392,15.645215072,36.999751152,36.278425023,-599.999999997,,
393,15.685228409,36.999447796,36.260842865,-599.999999996,,
394,15.725241747,36.999561311,36.243494241,-599.999999996,,
395,15.765255085,37.001007195,36.228081460,-599.999999995,,
396,15.805268423,36.998227074,36.210761850,-599.999999994,,
397,15.845281761,37.000632288,36.196055139,-599.999999993,,
398,15.885295098,36.999934086,36.178365677,-599.999999993,,
399,15.925308436,36.998274198,36.162882991,-599.999999992,,
400,15.965321774,37.000228021,36.143638719,-599.999999993,,
401,16.005335112,36.999177790,36.128459534,-599.999999992,,
402,16.045348449,36.998958313,36.112782471,-599.999999992,,
403,16.085361787,37.000466420,36.097085443,-599.999999990,,
404,16.125375125,37.002069353,36.080891261,-599.999999990,,
405,16.165388463,37.000005577,36.064850332,-599.999999989,,
406,16.205401801,37.000139361,36.049052269,-599.999999989,,
407,16.245415138,36.997666520,36.034801146,-599.999999989,,
408,16.285428476,37.001420786,36.020198109,-599.999999988,,
409,16.325441814,37.000901282,36.005165423,-599.999999986,,
410,16.365455152,37.001127616,35.988369661,-599.999999986,,
411,16.405468489,37.000399110,35.975224484,-599.999999986,,
412,16.445481827,36.999973693,35.961838754,-599.999999986,,
413,16.485495165,37.000595789,35.945627572,-599.999999986,,
414,16.525508503,36.998166654,35.930520970,-599.999999986,,
415,16.565521841,37.000223123,35.919221625,-599.999999986,,
416,16.605535178,37.000634242,35.905384541,-599.999999986,,
417,16.645548516,36.999868935,35.894404700,-599.999999986,,
418,16.685561854,36.998881974,35.879181514,-599.999999986,,
419,16.725575192,36.999147988,35.867570352,-599.999999984,,
420,16.765588530,36.999095028,35.854202315,-599.999999984,,
421,16.805601867,37.001118238,35.844600153,-599.999999985,,
422,16.845615205,36.999331007,35.832465982,-599.999999985,,
423,16.885628543,37.000067837,35.821521950,-599.999999986,,
424,16.925641881,37.001492727,35.810265215,-599.999999985,,
425,16.965655218,37.000429898,35.801358206,-599.999999985,,
426,17.005668556,37.001850984,35.789425685,-599.999999986,,
427,17.045681894,37.000386947,35.781454464,-599.999999986,,
428,17.085695232,37.002184319,35.771672027,-599.999999986,,
429,17.125708570,36.999004867,35.761724609,-599.999999987,,
430,17.165721907,36.999729228,35.755409839,-599.999999986,,
431,17.205735245,37.001781355,35.745323035,-599.999999988,,
432,17.245748583,37.001250352,35.736387707,-599.999999990,,
433,17.285761921,37.001908616,35.731285783,-599.999999991,,
434,17.325775258,36.999687088,35.724350182,-599.999999992,,
435,17.365788596,36.998893563,35.718537748,-599.999999993,,
436,17.405801934,37.002157147,35.714165259,-599.999999995,,
437,17.445815272,36.997844784,35.706826016,-599.999999998,,
438,17.485828610,37.002038002,35.701777315,-599.999999999,,
439,17.525841947,36.999990218,35.695415379,-600.000000001,,
440,17.565855285,37.000565973,35.691573292,-600.000000004,,
441,17.605868623,37.000041768,35.687277104,-600.000000008,,
442,17.645881961,36.998983220,35.684371042,-600.000000012,,
443,17.685895298,36.999320627,35.682310660,-600.000000017,,
444,17.725908636,37.001262263,35.679629246,-600.000000023,,
445,17.765921974,36.999144165,35.674774837,-600.000000030,,
446,17.805935312,36.998643174,35.673276310,-600.000000037,,
447,17.845948650,37.000603310,35.672023564,-600.000000045,,
448,17.885961987,36.998848460,35.670972726,-600.000000054,,
449,17.925975325,36.999714808,35.670954974,-600.000000063,,
450,17.965988663,37.000573766,35.670792163,-600.000000074,,
451,18.006002001,36.998383577,35.671103287,-600.000000083,,
452,18.046015338,36.999507511,35.670632597,-600.000000088,,
453,18.086028676,37.001610030,35.670530207,-600.000000095,,
454,18.126042014,36.997975823,35.671666895,-600.000000097,,
455,18.166055352,37.000011055,35.674394664,-600.000000093,,
456,18.206068690,37.000047352,35.676860076,-600.000000091,,
457,18.246082027,36.998143917,35.679267085,-600.000000092,,
458,18.286095365,36.999348049,35.681000241,-600.000000096,,
459,18.326108703,36.999545198,35.684869297,-600.000000097,,
460,18.366122041,36.999143487,35.687113976,-600.000000090,,
461,18.406135378,37.000878995,35.691821911,-600.000000083,,
462,18.446148716,37.000604270,35.695483321,-600.000000081,,
463,18.486162054,36.999029665,35.700582209,-600.000000079,,
464,18.526175392,36.997772903,35.704641160,-600.000000081,,
465,18.566188730,36.999743715,35.708812176,-600.000000087,,
466,18.606202067,37.000039618,35.713524008,-600.000000090,,
467,18.646215405,36.998959170,35.719172070,-600.000000087,,
468,18.686228743,36.998652065,35.726604715,-600.000000087,,
469,18.726242081,36.998620415,35.733333572,-600.000000087,,
470,18.766255418,36.998763459,35.736063150,-600.000000082,,
471,18.806268756,37.000362303,35.744294656,-600.000000082,,
472,18.846282094,37.001061476,35.752491280,-600.000000085,,
473,18.886295432,36.999332283,35.759619649,-600.000000081,,
474,18.926308770,36.999908976,35.766997519,-600.000000080,,
475,18.966322107,37.000587059,35.773403048,-600.000000077,,
476,19.006335445,36.998567711,35.783171563,-600.000000083,,
477,19.046348783,36.998511496,35.790779338,-600.000000084,,
478,19.086362121,36.999956770,35.798592443,-600.000000079,,
479,19.126375458,36.999689055,35.806759626,-600.000000082,,
480,19.166388796,36.999893976,35.816157180,-600.000000084,,
481,19.206402134,37.000443109,35.823767003,-600.000000081,,
482,19.246415472,36.999976346,35.833690422,-600.000000081,,
483,19.286428810,36.997748831,35.844581349,-600.000000079,,
484,19.326442147,37.000253472,35.851283440,-600.000000082,,
485,19.366455485,37.000018952,35.863513232,-600.000000081,,
486,19.406468823,36.997595116,35.873672299,-600.000000080,,
487,19.446482161,36.999821133,35.882017152,-600.000000080,,
488,19.486495498,36.999499753,35.892838918,-600.000000080,,
489,19.526508836,36.999936875,35.903343972,-600.000000078,,
490,19.566522174,36.998474087,35.912114151,-600.000000075,,
491,19.606535512,36.999409734,35.922366450,-600.000000078,,
492,19.646548850,37.000611052,35.933682140,-600.000000078,,
493,19.686562187,36.998675615,35.945448479,-600.000000077,,
494,19.726575525,36.997798974,35.953630602,-600.000000077,,
495,19.766588863,36.998871567,35.965828505,-600.000000076,,
496,19.806602201,36.999166818,35.976780867,-600.000000075,,
497,19.846615539,36.999832870,35.989196810,-600.000000072,,
498,19.886628876,37.001126030,35.999389396,-600.000000076,,
499,19.926642214,37.000036357,36.012652748,-600.000000077,,
500,19.966655552,36.998715180,36.021656713,-600.000000081,,
501,20.006668890,36.998169428,36.033344084,-600.000000079,,
502,20.046682227,36.998999429,36.046405754,-600.000000082,,
503,20.086695565,36.998839134,36.055607252,-600.000000081,,
504,20.126708903,36.999046013,36.068436218,-600.000000081,,
505,20.166722241,36.997501359,36.078956415,-600.000000081,,
506,20.206735579,36.997932139,36.088676712,-600.000000081,,
507,20.246748916,36.998569689,36.101406443,-600.000000078,,
508,20.286762254,36.997023196,36.112868069,-600.000000076,,
509,20.326775592,36.996726908,36.125092484,-600.000000078,,
510,20.366788930,36.997689545,36.137673071,-600.000000083,,
511,20.406802267,37.000396111,36.147003968,-600.000000088,,
512,20.446815605,36.996507407,36.159330907,-600.000000088,,
513,20.486828943,36.994914075,36.169692111,-600.000000086,,
514,20.526842281,36.997957812,36.180147806,-600.000000087,,
515,20.566855619,36.998779881,36.191587026,-600.000000088,,
516,20.606868956,36.996555059,36.204993228,-600.000000090,,
517,20.646882294,36.995055826,36.214526161,-600.000000090,,
518,20.686895632,36.996208630,36.224542090,-600.000000091,,
519,20.726908970,36.997303460,36.238635646,-600.000000094,,
520,20.766922307,36.996898816,36.247946803,-600.000000092,,
521,20.806935645,36.995299903,36.257818958,-600.000000094,,
522,20.846948983,36.996028465,36.270982989,-600.000000097,,
523,20.886962321,36.996113620,36.281279682,-600.000000097,,
524,20.926975659,36.995403476,36.292624004,-600.000000097,,
525,20.966988996,36.995737205,36.303050650,-600.000000097,,
526,21.007002334,36.995566935,36.314373091,-600.000000101,,
527,21.047015672,36.993823970,36.324188307,-600.000000099,,
528,21.087029010,36.995415006,36.334989842,-600.000000097,,
529,21.127042347,36.996681079,36.345144117,-600.000000099,,
530,21.167055685,36.995010910,36.355865520,-600.000000099,,
531,21.207069023,36.994947411,36.367598138,-600.000000098,,
532,21.247082361,36.994141546,36.375432895,-600.000000103,,
533,21.287095699,36.993484030,36.387607262,-600.000000102,,
534,21.327109036,36.993504396,36.397756505,-600.000000099,,
535,21.367122374,36.995052609,36.404923921,-600.000000097,,
536,21.407135712,36.996974428,36.416831506,-600.000000099,,
